list_date,isbn13,rank,weeks_on_list,title,author,publisher,description,month
2020-07-05,9780316539425,8,4,FAIR WARNING,Michael Connelly,"Little, Brown",The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.,7
2020-07-05,9780062868930,9,3,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,7
2020-07-05,9781984826787,10,1,DEVOLUTION,Max Brooks,Del Rey,"In the aftermath of Mount Rainier erupting, Kate Holland’s newly discovered journals tell the tale of the creature known as Bigfoot.",7
2020-07-05,9780593188064,11,2,TOM CLANCY: FIRING POINT,Mike Maden,Putnam,"When an old friend is killed during the bombing of a Barcelona cafe, Jack Ryan Jr. searches for those responsible.",7
2020-07-05,9780399179624,12,2,DADDY'S GIRLS,Danielle Steel,Delacorte,"After a California rancher‘s sudden death, his three daughters discover things they did not know about their father.",7
2020-07-05,9781250207104,13,4,HIDEAWAY,Nora Roberts,St. Martin's,"A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood.",7
2020-07-05,9781538761465,14,9,WALK THE WIRE,David Baldacci,Grand Central,The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.,7
2020-07-05,9781250209764,15,22,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,7
2020-07-12,9780525536291,1,4,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,7
2020-07-12,9780316420044,2,2,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,7
2020-07-12,9780735219090,3,95,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",7
2020-07-12,9780385545938,4,9,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,7
2020-07-12,9780316539555,5,3,THE SUMMER HOUSE,James Patterson and Brendan DuBois,"Little, Brown","Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia.",7
2020-07-12,9780062868930,6,4,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,7
2020-07-12,9781982137977,7,10,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",7
2020-07-12,9780316539425,8,5,FAIR WARNING,Michael Connelly,"Little, Brown",The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.,7
2020-07-12,9781728215723,9,1,THE LAST FLIGHT,Julie Clark,Sourcebooks Landmark,Claire Cook escapes from living with her quick-tempered husband and assumes another woman’s identity.,7
2020-07-12,9781250209764,10,23,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,7
2020-07-12,9780735216723,11,4,DEACON KING KONG,James McBride,Riverhead,"In 1969, secrets in a South Brooklyn neighborhood are uncovered when a church deacon known as Sportcoat shoots a drug dealer in public.",7
2020-07-12,9781250207104,12,5,HIDEAWAY,Nora Roberts,St. Martin's,"A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood.",7
2020-07-12,9780399179624,13,3,DADDY'S GIRLS,Danielle Steel,Delacorte,"After a California rancher‘s sudden death, his three daughters discover things they did not know about their father.",7
2020-07-12,9781501133510,14,7,BIG SUMMER,Jennifer Weiner,Atria,Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.,7
2020-07-12,9781984879356,15,1,DEATH IN HER HANDS,Ottessa Moshfegh,Penguin Press,A woman determines to solve a mystery involving a handwritten note and a seemingly nonexistent dead body in the woods.,7
2020-07-19,9780735219090,1,96,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",7
2020-07-19,9780525536291,2,5,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,7
2020-07-19,9780316420044,3,3,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,7
2020-07-19,9780385546270,4,1,SEX AND VANITY,Kevin Kwan,Doubleday,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.,7
2020-07-19,9780385545938,5,10,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,7
2020-07-19,9780062868930,6,5,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,7
2020-07-19,9780316539555,7,4,THE SUMMER HOUSE,James Patterson and Brendan DuBois,"Little, Brown","Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia.",7
2020-07-19,9781524745172,8,1,HOME BEFORE DARK,Riley Sager,Dutton,When Maggie Holt inherits the Vermont estate that was the setting of her father’s horror memoir she is confronted by some of the people and relics he chronicled.,7
2020-07-19,9780525620785,9,1,MEXICAN GOTHIC,Silvia Moreno-Garcia,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.",7
2020-07-19,9780525520597,10,1,FRIENDS AND STRANGERS,J. Courtney Sullivan,Knopf,Complications ensue when a New York journalist downshifts to become a mom in a small town and hires a senior at the local women’s college to babysit.,7
2020-07-19,9781982137977,11,11,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",7
2020-07-19,9780316539425,12,6,FAIR WARNING,Michael Connelly,"Little, Brown",The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.,7
2020-07-19,9781250209764,13,24,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,7
2020-07-19,9781501133510,14,8,BIG SUMMER,Jennifer Weiner,Atria,Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.,7
2020-07-19,9780399179624,15,4,DADDY'S GIRLS,Danielle Steel,Delacorte,"After a California rancher‘s sudden death, his three daughters discover things they did not know about their father.",7
2020-07-26,9780735219090,1,97,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",7
2020-07-26,9780525536291,2,6,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,7
2020-07-26,9780316420044,3,4,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,7
2020-07-26,9781524743475,4,1,A BEAUTIFULLY FOOLISH ENDEAVOR,Hank Green,Dutton,Mysterious books hint at what caused the untimely demise of April May and the sudden disappearance of robots known as the Carls.,7
2020-07-26,9780385545938,5,11,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,7
2020-07-26,9780062868930,6,6,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,7
2020-07-26,9780385546270,7,2,SEX AND VANITY,Kevin Kwan,Doubleday,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.,7
2020-07-26,9781250209764,8,25,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,7
2020-07-26,9780316539555,9,5,THE SUMMER HOUSE,James Patterson and Brendan DuBois,"Little, Brown","Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia.",7
2020-07-26,9780525620785,10,2,MEXICAN GOTHIC,Silvia Moreno-Garcia,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.",7
2020-07-26,9781982137977,11,12,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",7
2020-07-26,9780316539425,12,7,FAIR WARNING,Michael Connelly,"Little, Brown",The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.,7
2020-07-26,9781250301697,13,52,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,7
2020-07-26,9780525655978,14,1,MEMOIRS AND MISINFORMATION,Jim Carrey and Dana Vachon,Knopf,A character named Jim Carrey navigates stardom and its excesses in a satire that borrows heavily from the life of the celebrity Jim Carrey.,7
2020-07-26,9781501133510,15,9,BIG SUMMER,Jennifer Weiner,Atria,Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.,7
2020-08-02,9780062834843,1,1,THE ORDER,Daniel Silva,Harper,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.,8
2020-08-02,9780451464415,2,1,PEACE TALKS,Jim Butcher,Ace,The 16th book in the Dresden Files series. Chicago's only professional wizard tries to keep the peace during a summit of the Supernatural nations of the world.,8
2020-08-02,9780735219090,3,98,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",8
2020-08-02,9780525536291,4,7,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,8
2020-08-02,9780316420044,5,5,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,8
2020-08-02,9780385546270,6,3,SEX AND VANITY,Kevin Kwan,Doubleday,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.,8
2020-08-02,9780062868930,7,7,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,8
2020-08-02,9780385545938,8,12,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,8
2020-08-02,9780812997439,9,1,UTOPIA AVENUE,David Mitchell,Random House,The glories and misadventures of a 1960s British band told from several perspectives with cameos by real-life musicians.,8
2020-08-02,9780399181368,10,1,A WALK ALONG THE BEACH,Debbie Macomber,Ballantine,"After dealing with loss and setbacks, two sisters take risks on dreams and love.",8
2020-08-02,9781982137977,11,13,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",8
2020-08-02,9781250209764,12,26,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,8
2020-08-02,9780316539555,13,6,THE SUMMER HOUSE,James Patterson and Brendan DuBois,"Little, Brown","Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia.",8
2020-08-02,9780525620785,14,3,MEXICAN GOTHIC,Silvia Moreno-Garcia,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.",8
2020-08-02,9781501133510,15,10,BIG SUMMER,Jennifer Weiner,Atria,Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.,8
2020-08-09,9780735219090,1,99,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",8
2020-08-09,9781982104061,2,1,NEAR DARK,Brad Thor,Emily Bestler/Atria,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.",8
2020-08-09,9780062834843,3,2,THE ORDER,Daniel Silva,Harper,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.,8
2020-08-09,9780525536291,4,8,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,8
2020-08-09,9780316420044,5,6,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,8
2020-08-09,9780062868930,6,8,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,8
2020-08-09,9781250256737,7,1,AXIOM'S END,Lindsay Ellis,St. Martin's,Cora Sabino finds herself caught between her estranged whistle-blower father and the extraterrestrials who have been living here for decades.,8
2020-08-09,9780385545938,8,13,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,8
2020-08-09,9780451464415,9,2,PEACE TALKS,Jim Butcher,Ace,The 16th book in the Dresden Files series. Chicago's only professional wizard tries to keep the peace during a summit of the Supernatural nations of the world.,8
2020-08-09,9781250209764,10,27,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,8
2020-08-09,9780385546270,11,4,SEX AND VANITY,Kevin Kwan,Doubleday,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.,8
2020-08-09,9780399181368,12,2,A WALK ALONG THE BEACH,Debbie Macomber,Ballantine,"After dealing with loss and setbacks, two sisters take risks on dreams and love.",8
2020-08-09,9781982137977,13,14,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",8
2020-08-09,9780316499019,14,1,THE PULL OF THE STARS,Emma Donoghue,"Little, Brown","While war and the Great Flu ravages 1918 Dublin, three women help expectant mothers who have been quarantined in a hospital.",8
2020-08-09,9781501133510,15,11,BIG SUMMER,Jennifer Weiner,Atria,Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.,8
2020-08-16,9780735219090,1,100,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",8
2020-08-16,9780525536291,2,9,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,8
2020-08-16,9780316418188,3,1,1ST CASE,James Patterson and Chris Tebbetts,"Little, Brown","After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer.",8
2020-08-16,9780062834843,4,3,THE ORDER,Daniel Silva,Harper,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.,8
2020-08-16,9781982104061,5,2,NEAR DARK,Brad Thor,Emily Bestler/Atria,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.",8
2020-08-16,9780316420044,6,7,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,8
2020-08-16,9780062868930,7,9,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,8
2020-08-16,9781501193699,8,1,DEADLOCK,Catherine Coulter,Gallery,"The 24th book in the F.B.I. Thriller series. A young wife, a psychopath and three red boxes puzzle agents Savich and Sherlock.",8
2020-08-16,9780525620785,9,4,MEXICAN GOTHIC,Silvia Moreno-Garcia,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.",8
2020-08-16,9780385545938,10,14,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,8
2020-08-16,9781250209764,11,28,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,8
2020-08-16,9781984880512,12,1,THE END OF HER,Shari Lapena,Pamela Dorman,The parents of colicky twin girls have other trouble delivered in the form of suspicions surrounding the husband’s first wife’s death.,8
2020-08-16,9781982137977,13,15,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",8
2020-08-16,9781250301697,14,53,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,8
2020-08-16,9780385546270,15,5,SEX AND VANITY,Kevin Kwan,Doubleday,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.,8
2020-08-23,9780735219090,1,101,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",8
2020-08-23,9780525536291,2,10,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,8
2020-08-23,9780316418188,3,2,1ST CASE,James Patterson and Chris Tebbetts,"Little, Brown","After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer.",8
2020-08-23,9780062834843,4,4,THE ORDER,Daniel Silva,Harper,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.,8
2020-08-23,9780062868930,5,10,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,8
2020-08-23,9781982104061,6,3,NEAR DARK,Brad Thor,Emily Bestler/Atria,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.",8
2020-08-23,9781984804433,7,1,SUCKER PUNCH,Laurell K. Hamilton,Berkley,"The 27th book in the Anita Blake, Vampire Hunter series. The evidence that a wereleopard killed his uncle doesn’t add up.",8
2020-08-23,9780316420044,8,8,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,8
2020-08-23,9781250313225,9,1,HARROW THE NINTH,Tamsyn Muir,Tor.com,The second book of the Locked Tomb trilogy. Harrowhark Nonagesimus must overcome her failing health to become an angel of undeath.,8
2020-08-23,9780062858108,10,1,THE SILENT WIFE,Karin Slaughter,Morrow,The 10th book in the Will Trent series. Investigations of two crimes force Trent to call on his girlfriend's expertise as a medical examiner.,8
2020-08-23,9781250209764,11,29,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,8
2020-08-23,9780374194321,12,1,LUSTER,Raven Leilani,"Farrar, Straus & Giroux",A young Brooklyn artist is invited to live with a New Jersey couple who have an open marriage and an adopted daughter.,8
2020-08-23,9780525620785,13,5,MEXICAN GOTHIC,Silvia Moreno-Garcia,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.",8
2020-08-23,9780385545938,14,15,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,8
2020-08-23,9780525541608,15,1,THE DEATH OF VIVEK OJI,Akwaeke Emezi,Riverhead,"In southern Nigeria, an act of violence comes out of the facets of a relationship between cousins Vivek and Osita.",8
2020-08-30,9780735219090,1,102,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",8
2020-08-30,9780525536291,2,11,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,8
2020-08-30,9781982151683,3,1,A PRIVATE CATHEDRAL,James Lee Burke,Simon & Schuster,The 23rd book in the Dave Robicheaux series. Rival Louisiana crime families and a time-traveling superhuman assassin bring up Robicheaux’s personal demons.,8
2020-08-30,9780316418188,4,3,1ST CASE,James Patterson and Chris Tebbetts,"Little, Brown","After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer.",8
2020-08-30,9780062834843,5,5,THE ORDER,Daniel Silva,Harper,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.,8
2020-08-30,9780593188293,6,1,CHOPPY WATER,Stuart Woods,Putnam,The 54th book in the Stone Barrington series. Things get rough for Stone as he goes after criminals in New York City and Key West.,8
2020-08-30,9780316420044,7,9,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,8
2020-08-30,9780062868930,8,11,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,8
2020-08-30,9781982104061,9,4,NEAR DARK,Brad Thor,Emily Bestler/Atria,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.",8
2020-08-30,9781250209764,10,30,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,8
2020-08-30,9780525620785,11,6,MEXICAN GOTHIC,Silvia Moreno-Garcia,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.",8
2020-08-30,9780385545938,12,16,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,8
2020-08-30,9781250301697,13,54,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,8
2020-08-30,9781982137977,14,16,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",8
2020-08-30,9780374194321,15,2,LUSTER,Raven Leilani,"Farrar, Straus & Giroux",A young Brooklyn artist is invited to live with a New Jersey couple who have an open marriage and an adopted daughter.,8
2020-09-06,9780735219090,1,103,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",9
2020-09-06,9780399179655,2,1,ROYAL,Danielle Steel,Delacorte,"In 1943, the 17-year-old Princess Charlotte assumes a new identity in the country and falls in love.",9
2020-09-06,9780525536291,3,12,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,9
2020-09-06,9780062868930,4,12,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,9
2020-09-06,9780316420044,5,10,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,9
2020-09-06,9780062834843,6,6,THE ORDER,Daniel Silva,Harper,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.,9
2020-09-06,9781250209764,7,31,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,9
2020-09-06,9781501195068,8,1,THE JACKAL,J.R. Ward,Gallery,"In the Black Dagger Brotherhood world, Nyx searches for her sister in a lost prison camp and meets a man known as the Jackal.",9
2020-09-06,9780316418188,9,4,1ST CASE,James Patterson and Chris Tebbetts,"Little, Brown","After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer.",9
2020-09-06,9780525620785,10,7,MEXICAN GOTHIC,Silvia Moreno-Garcia,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden.",9
2020-09-06,9781250301697,11,55,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,9
2020-09-06,9781982104061,12,5,NEAR DARK,Brad Thor,Emily Bestler/Atria,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.",9
2020-09-06,9780385545938,13,17,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,9
2020-09-06,9781524744618,14,1,THE LIONS OF FIFTH AVENUE,Fiona Davis,Dutton,"When rarities disappear, a curator at the New York Public Library, who grapples with her grandmother’s legacy, uncovers new truths about her family heritage.",9
2020-09-06,9781982137977,15,17,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”",9
2020-09-13,9780735219090,1,104,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",9
2020-09-13,9780525536291,2,13,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,9
2020-09-13,9781538751947,3,1,THICK AS THIEVES,Sandra Brown,Grand Central,Arden Maxwell returns home to uncover the truth about her father’s involvement in a heist that went wrong 20 years ago.,9
2020-09-13,9781524733452,4,1,SQUEEZE ME,Carl Hiaasen,Knopf,"A dead dowager, hungry pythons and occupants of the winter White House shake up the Palm Beach charity ball season.",9
2020-09-13,9780399179655,5,2,ROYAL,Danielle Steel,Delacorte,"In 1943, the 17-year-old Princess Charlotte assumes a new identity in the country and falls in love.",9
2020-09-13,9780062868930,6,13,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,9
2020-09-13,9781250209764,7,32,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.,9
2020-09-13,9780316420044,8,11,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.,9
2020-09-13,9780316418188,9,5,1ST CASE,James Patterson and Chris Tebbetts,"Little, Brown","After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer.",9
2020-09-13,9780062356345,10,1,THE EXILES,Christina Baker Kline,Custom House,Three young women are sent to the fledgling British penal colony of Australia in the 1840s.,9
2020-09-13,9781250301697,11,56,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,9
