list_date,isbn13,rank,weeks_on_list,title,author,publisher,description,month
2018-07-29,9780525520375,12,6,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,7
2018-07-29,9780062678416,13,24,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,7
2018-07-29,9780735224292,14,42,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,7
2018-07-29,9780525522119,15,1,MY YEAR OF REST AND RELAXATION,Ottessa Moshfegh,Penguin Press,"A young woman living in New York City in 2000 contends with depression, bad relationships and an incompetent psychiatrist.",7
2018-08-05,9780062834829,1,1,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",8
2018-08-05,9780316412698,2,7,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,8
2018-08-05,9780399181252,3,1,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,8
2018-08-05,9781501180989,4,9,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,8
2018-08-05,9780316375269,5,5,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,8
2018-08-05,9780399178924,6,4,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,8
2018-08-05,9781476789415,7,3,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,8
2018-08-05,9780525655527,8,2,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.,8
2018-08-05,9781101884126,9,2,THE GOOD FIGHT,Danielle Steel,Delacorte,Meredith McKenzie embraces and eschews the values of her family of lawyers during the tumultuous 1960s.,8
2018-08-05,9781476778440,10,7,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,8
2018-08-05,9780425284681,11,44,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,8
2018-08-05,9780525520375,12,7,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,8
2018-08-05,9780312577230,13,19,THE GREAT ALONE,Kristin Hannah,St. Martin's,A former prisoner of war moves his family to Alaska.,8
2018-08-05,9780062678416,14,25,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,8
2018-08-05,9780735224292,15,43,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,8
2018-08-12,9780525480488,1,1,THRAWN: ALLIANCES,Timothy Zahn,Del Rey,A Star Wars saga. Darth Vader and Grand Admiral Thrawn join forces to serve Emperor Palpatine.,8
2018-08-12,9780316412698,2,8,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,8
2018-08-12,9780062834829,3,2,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",8
2018-08-12,9781501180989,4,10,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,8
2018-08-12,9780525522775,5,1,GHOSTED,Rosie Walsh,Pamela Dorman/Viking,"When Eddie disappears, Sarah realizes they did not share the truth with each other.",8
2018-08-12,9780399181252,6,2,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,8
2018-08-12,9780316375269,7,6,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,8
2018-08-12,9781476789415,8,4,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,8
2018-08-12,9780525655527,9,3,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.,8
2018-08-12,9780399178924,10,5,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,8
2018-08-12,9781476778440,11,8,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,8
2018-08-12,9780425284681,12,45,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,8
2018-08-12,9781101884126,13,3,THE GOOD FIGHT,Danielle Steel,Delacorte,Meredith McKenzie embraces and eschews the values of her family of lawyers during the tumultuous 1960s.,8
2018-08-12,9780525520375,14,8,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,8
2018-08-12,9780062678416,15,26,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,8
2018-08-19,9780316412698,1,9,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,8
2018-08-19,9781501138126,2,1,PARADOX,Catherine Coulter,Gallery,"In the 22nd book in the F.B.I. Thriller series, agents Sherlock and Savich look for an escaped psychopath.",8
2018-08-19,9781501180989,3,11,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,8
2018-08-19,9780062834829,4,3,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",8
2018-08-19,9780399181252,5,3,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,8
2018-08-19,9780525480488,6,2,THRAWN: ALLIANCES,Timothy Zahn,Del Rey,A Star Wars saga. Darth Vader and Grand Admiral Thrawn join forces to serve Emperor Palpatine.,8
2018-08-19,9780525655527,7,4,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.,8
