dominant_topic,count,avg_rank,avg_weeks
3,421,6.584323040380047,25.78147268408551
7,380,7.692105263157894,24.228947368421053
14,268,7.018656716417911,21.66044776119403
12,293,7.829351535836177,21.313993174061434
1,214,6.5607476635514015,13.649532710280374
11,262,8.33969465648855,12.526717557251908
0,444,7.77027027027027,12.45945945945946
15,229,8.008733624454148,12.388646288209607
17,241,8.738589211618256,12.078838174273859
9,274,7.930656934306569,10.744525547445255
18,332,7.436746987951807,10.512048192771084
10,235,8.080851063829787,9.268085106382978
6,313,8.552715654952078,8.696485623003195
19,306,8.53921568627451,7.173202614379085
16,239,8.0,6.523012552301255
2,378,8.584656084656086,6.431216931216931
13,275,9.12,6.189090909090909
4,195,8.046153846153846,4.779487179487179
8,238,9.474789915966387,3.827731092436975
5,238,8.533613445378151,3.361344537815126
