list_date,isbn13,rank,weeks_on_list,isbn10,title,author,publisher,description,month,clean_description,dominant_topic,sentiment_compound
2019-04-28,9780735219090,1,32,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",4,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-04-28,9780525539643,2,1,,SOMEONE KNOWS,Lisa Scottoline,Putnam,A dark secret emerges when Allie Garvey returns home to attend a childhood friend’s funeral.,4,dark secret emerge allie garvey return home attend childhood friend funeral,10,0.1779
2019-04-28,9781524796372,3,1,,LOST ROSES,Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",4,       new york socialite eliza ferriday work help white russian family escape revolution,2,0.5267
2019-04-28,9780316485555,4,3,,THE CORNWALLS ARE GONE,James Patterson and Brendan DuBois,"Little, Brown",An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.,4,army intelligence officer commit crime lose kidnap husband daughter,17,-0.2263
2019-04-28,9781476707433,5,1,,TWO WEEKS,Karen Kingsbury,Howard,A pregnant 18-year-old has limited time to change her mind about giving her baby up for adoption.,4,pregnant     year old limit time change mind give baby adoption,2,0.0
2019-04-28,9781538748466,6,4,,RUN AWAY,Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.,4,family tear apart daughter addicted drug go missing,9,-0.296
2019-04-28,9780062391957,7,1,,THE TALE TELLER,Anne Hillerman,Harper,"Investigations by Leaphorn, Chee and Manuelito overlap in the desert Southwest.",4,investigation leaphorn chee manuelito overlap desert southwest,8,0.0
2019-04-28,9780735218994,8,4,,CELTIC EMPIRE,Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.,4,book dirk pitt series,3,0.0
2019-04-28,9781250301697,9,10,,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,4,theo faber look mystery famous painter stop speak shoot husband,9,-0.5574
2019-04-28,9780735218895,10,1,,METROPOLIS,Philip Kerr,Putnam,Bernie Gunther joins the Murder Commission in Berlin in 1928. The final Bernie Gunther novel completed before the author’s death.,4,bernie gunther join murder commission berlin        final bernie gunther novel complete author death,9,-0.7269
2019-04-28,9781524798628,11,6,,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,4,fictional oral history chart rise fall     rock roll band,1,0.0
2019-04-28,9780525538196,12,5,,WOLF PACK,C.J. Box,Putnam,The Wyoming game wardens Joe Pickett and Katelyn Hamm take on killers working for the Sinaloa cartel.,4,wyoming game warden joe pickett katelyn hamm killer work sinaloa cartel,14,-0.6486
2019-04-28,9780316519106,13,1,,MIRACLE AT ST. ANDREWS,James Patterson and Peter de Jonge,"Little, Brown",A former professional golfer visits the course in Scotland.,4,professional golfer visit course scotland,8,0.0
2019-04-28,9780385352680,14,1,,LOST AND WANTED,Nell Freudenberger,Knopf,An M.I.T. professor receives a phone call from her recently deceased screenwriter friend.,4,professor receive phone recently deceased screenwriter friend,4,0.4939
2019-04-28,9781501154850,15,6,,THE ISLAND OF SEA WOMEN,Lisa See,Scribner,The friendship over many decades of two female divers from the Korean Island of Jeju is pushed to a breaking point.,4,friendship decade female diver korean island jeju push breaking point,7,0.4404
2019-05-05,9781538761410,1,1,,REDEMPTION,David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,5,fifth book memory man series man amos decker bar ask clear,16,0.3818
2019-05-05,9780735219090,2,33,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",5,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-05-05,9781984822178,3,1,,NORMAL PEOPLE,Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,5,connection high school star athlete loner ebb flow trinity college dublin,8,-0.3182
2019-05-05,9781524796372,4,2,,LOST ROSES,Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",5,       new york socialite eliza ferriday work help white russian family escape revolution,2,0.5267
2019-05-05,9780525619376,5,1,,STAR WARS: MASTER & APPRENTICE,Claudia Gray,Del Rey,The bond between Qui-Gon Jinn and Obi-Wan Kenobi is tested when they go on a mission to the royal court of Pijal.,5,bond qui gon jinn obi wan kenobi test mission royal court pijal,4,0.0
2019-05-05,9780525539643,6,2,,SOMEONE KNOWS,Lisa Scottoline,Putnam,A dark secret emerges when Allie Garvey returns home to attend a childhood friend’s funeral.,5,dark secret emerge allie garvey return home attend childhood friend funeral,10,0.1779
2019-05-05,9781538748466,7,5,,RUN AWAY,Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.,5,family tear apart daughter addicted drug go missing,9,-0.296
2019-05-05,9781250301697,8,11,,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,5,theo faber look mystery famous painter stop speak shoot husband,9,-0.5574
2019-05-05,9780735218994,9,5,,CELTIC EMPIRE,Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.,5,book dirk pitt series,3,0.0
2019-05-05,9780316485555,10,4,,THE CORNWALLS ARE GONE,James Patterson and Brendan DuBois,"Little, Brown",An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.,5,army intelligence officer commit crime lose kidnap husband daughter,17,-0.2263
2019-05-05,9780316519106,11,2,,MIRACLE AT ST. ANDREWS,James Patterson and Peter de Jonge,"Little, Brown",A former professional golfer visits the course in Scotland.,5,professional golfer visit course scotland,8,0.0
2019-05-05,9781524796280,12,17,,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",5,set      year event game throne volume history targaryen westeros,4,0.0
2019-05-05,9781524798628,13,7,,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,5,fictional oral history chart rise fall     rock roll band,1,0.0
2019-05-05,9781524748210,14,1,,THE DEPARTMENT OF SENSITIVE CRIMES,Alexander McCall Smith,Pantheon,A quirky team of Swedish detectives take on bizarre and tricky cases.,5,quirky team swedish detective bizarre tricky case,10,-0.4404
2019-05-05,9780316556347,15,15,,CIRCE,Madeline Miller,"Little, Brown","Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals.",5,zeus banish helios daughter island choose live god mortal,14,-0.2023
2019-05-12,9780735219090,1,34,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",5,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-05-12,9780525536581,2,1,,NEON PREY,John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,5,book prey series lucas davenport go serial killer,3,-0.6486
2019-05-12,9781538761410,3,2,,REDEMPTION,David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,5,fifth book memory man series man amos decker bar ask clear,16,0.3818
2019-05-12,9781524796372,4,3,,LOST ROSES,Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",5,       new york socialite eliza ferriday work help white russian family escape revolution,2,0.5267
2019-05-12,9781984817457,5,1,,WAR OF THE SPARK: RAVNICA,Greg Weisman,Del Rey,"The first book in the Magic: The Gathering: War of the Spark series. Nicol Bolas, the Elder Dragon, attacks the city of Ravnica.",5,book magic gathering war spark series nicol bolas eld dragon attack city ravnica,4,-0.7269
2019-05-12,9781984822178,6,2,,NORMAL PEOPLE,Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,5,connection high school star athlete loner ebb flow trinity college dublin,8,-0.3182
2019-05-12,9780525539643,7,3,,SOMEONE KNOWS,Lisa Scottoline,Putnam,A dark secret emerges when Allie Garvey returns home to attend a childhood friend’s funeral.,5,dark secret emerge allie garvey return home attend childhood friend funeral,10,0.1779
2019-05-12,9781250301697,8,12,,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,5,theo faber look mystery famous painter stop speak shoot husband,9,-0.5574
2019-05-12,9781524796280,9,18,,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",5,set      year event game throne volume history targaryen westeros,4,0.0
2019-05-12,9780385545112,10,1,,MACHINES LIKE ME,Ian McEwan,Nan A. Talese/Doubleday,"In an alternative 1980s London, a love triangle develops between a couple and a synthetic human.",5,alternative      london love triangle develop couple synthetic human,5,0.6369
2019-05-12,9781538748466,11,6,,RUN AWAY,Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.,5,family tear apart daughter addicted drug go missing,9,-0.296
2019-05-12,9780316519106,12,3,,MIRACLE AT ST. ANDREWS,James Patterson and Peter de Jonge,"Little, Brown",A former professional golfer visits the course in Scotland.,5,professional golfer visit course scotland,8,0.0
2019-05-12,9780735218994,13,6,,CELTIC EMPIRE,Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.,5,book dirk pitt series,3,0.0
2019-05-12,9781524798628,14,8,,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,5,fictional oral history chart rise fall     rock roll band,1,0.0
2019-05-12,9781984800824,15,2,,STAR WARS: MASTER & APPRENTICE,Claudia Gray,Del Rey,The bond between Qui-Gon Jinn and Obi-Wan Kenobi is tested when they go on a mission to the royal court of Pijal.,5,bond qui gon jinn obi wan kenobi test mission royal court pijal,4,0.0
2019-05-19,9780735219090,1,35,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",5,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-05-19,9780316420266,2,1,,THE 18TH ABDUCTION,James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,5,book woman murder club series lindsay boxer investigate disappearance female teacher,11,-0.6908
2019-05-19,9781538761410,3,3,,REDEMPTION,David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,5,fifth book memory man series man amos decker bar ask clear,16,0.3818
2019-05-19,9780525536581,4,2,,NEON PREY,John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,5,book prey series lucas davenport go serial killer,3,-0.6486
2019-05-19,9781524796372,5,4,,LOST ROSES,Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",5,       new york socialite eliza ferriday work help white russian family escape revolution,2,0.5267
2019-05-19,9781984822178,6,3,,NORMAL PEOPLE,Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,5,connection high school star athlete loner ebb flow trinity college dublin,8,-0.3182
2019-05-19,9781250301697,7,13,,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,5,theo faber look mystery famous painter stop speak shoot husband,9,-0.5574
2019-05-19,9780062699763,8,1,,A WOMAN IS NO MAN,Etaf Rum,Harper,"A Palestinian-American teenager, much like her mother before her, faces the prospect of an arranged marriage.",5,palestinian american teenager like mother face prospect arranged marriage,13,0.5719
2019-05-19,9781524796280,9,19,,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",5,set      year event game throne volume history targaryen westeros,4,0.0
2019-05-19,9780525539643,10,4,,SOMEONE KNOWS,Lisa Scottoline,Putnam,A dark secret emerges when Allie Garvey returns home to attend a childhood friend’s funeral.,5,dark secret emerge allie garvey return home attend childhood friend funeral,10,0.1779
2019-05-19,9780316556347,11,16,,CIRCE,Madeline Miller,"Little, Brown","Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals.",5,zeus banish helios daughter island choose live god mortal,14,-0.2023
2019-05-19,9781524798628,12,9,,DAISY JONES & THE SIX,Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,5,fictional oral history chart rise fall     rock roll band,1,0.0
2019-05-19,9781538748466,13,7,,RUN AWAY,Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.,5,family tear apart daughter addicted drug go missing,9,-0.296
2019-05-19,9780735218994,14,7,,CELTIC EMPIRE,Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.,5,book dirk pitt series,3,0.0
2019-05-19,9780316519106,15,4,,MIRACLE AT ST. ANDREWS,James Patterson and Peter de Jonge,"Little, Brown",A former professional golfer visits the course in Scotland.,5,professional golfer visit course scotland,8,0.0
2019-05-26,9780735219090,1,36,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",5,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-05-26,9780316420266,2,2,,THE 18TH ABDUCTION,James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,5,book woman murder club series lindsay boxer investigate disappearance female teacher,11,-0.6908
2019-05-26,9780399179327,3,1,,BLESSING IN DISGUISE,Danielle Steel,Delacorte,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.,5,isabelle mcavoy face challenge raise daughter separate father,1,0.0772
2019-05-26,9781538761410,4,4,,REDEMPTION,David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,5,fifth book memory man series man amos decker bar ask clear,16,0.3818
2019-05-26,9781250126108,5,1,,SUNSET BEACH,Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,5,drue campbell inherit run beach bungalow take job estranged father personal injury attorney office,2,-0.4215
2019-05-26,9780425281291,6,1,,STORM CURSED,Patricia Briggs,Ace,The 11th book in the Mercy Thompson series. Dangers swell as Death approaches.,5,book mercy thompson series danger swell death approach,2,-0.7003
2019-05-26,9781501111822,7,1,,THE ROAD HOME,Richard Paul Evans,Simon & Schuster,The third book in the Broken Road series. Charles James continues his journey on Route 66 to his ultimate destination.,5,book broken road series charles james continue journey route     ultimate destination,3,-0.4767
2019-05-26,9780525536642,8,1,,THE BIG KAHUNA,Janet Evanovich and Peter Evanovich,Putnam,The sixth book in the Fox and O’Hare series. An F.B.I. agent teams up with a con man to search for a Silicon Valley billionaire.,5,sixth book fox hare series agent team con man search silicon valley billionaire,6,0.0
2019-05-26,9780525536581,9,3,,NEON PREY,John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,5,book prey series lucas davenport go serial killer,3,-0.6486
2019-05-26,9781250110251,10,1,,THE GUEST BOOK,Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,5,evie milton uncover story go couple generation shatter family myth,13,0.0
2019-05-26,9781524796372,11,5,,LOST ROSES,Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",5,       new york socialite eliza ferriday work help white russian family escape revolution,2,0.5267
2019-05-26,9781984822178,12,4,,NORMAL PEOPLE,Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,5,connection high school star athlete loner ebb flow trinity college dublin,8,-0.3182
2019-05-26,9781250301697,13,14,,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,5,theo faber look mystery famous painter stop speak shoot husband,9,-0.5574
2019-05-26,9781524796280,14,20,,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",5,set      year event game throne volume history targaryen westeros,4,0.0
2019-05-26,9781101947883,15,1,,EXHALATION,Ted Chiang,Knopf,Nine short stories including “The Lifecycle of Software Objects” and “Anxiety Is the Dizziness of Freedom.”,5,short story include lifecycle software object anxiety dizziness freedom,11,0.5423
2019-06-02,9780735219090,1,37,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",6,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-06-02,9780316420266,2,3,,THE 18TH ABDUCTION,James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,6,book woman murder club series lindsay boxer investigate disappearance female teacher,11,-0.6908
2019-06-02,9780525484707,3,1,,THE NIGHT WINDOW,Dean Koontz,Bantam,"The fifth book in the Jane Hawk series. The former F.B.I. agent pursues a slew of bad guys, including a Vegas mob boss.",6,fifth book jane hawk series agent pursue slew bad guy include vegas mob boss,12,-0.5423
2019-06-02,9781538761410,4,5,,REDEMPTION,David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,6,fifth book memory man series man amos decker bar ask clear,16,0.3818
2019-06-02,9780399179327,5,2,,BLESSING IN DISGUISE,Danielle Steel,Delacorte,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.,6,isabelle mcavoy face challenge raise daughter separate father,1,0.0772
2019-06-02,9781250110251,6,2,,THE GUEST BOOK,Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,6,evie milton uncover story go couple generation shatter family myth,13,0.0
2019-06-02,9781250126108,7,2,,SUNSET BEACH,Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,6,drue campbell inherit run beach bungalow take job estranged father personal injury attorney office,2,-0.4215
2019-06-02,9780525536581,8,4,,NEON PREY,John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,6,book prey series lucas davenport go serial killer,3,-0.6486
2019-06-02,9781524796280,9,21,,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",6,set      year event game throne volume history targaryen westeros,4,0.0
2019-06-02,9781984822178,10,5,,NORMAL PEOPLE,Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,6,connection high school star athlete loner ebb flow trinity college dublin,8,-0.3182
2019-06-02,9780525535942,11,1,,THE NEVER GAME,Jeffery Deaver,Putnam,"Colter Shaw, the son of a survivalist family, probes the underbelly of Silicon Valley to go after a kidnapper.",6,colter shaw son survivalist family probe underbelly silicon valley kidnapper,10,0.0
2019-06-02,9781250301697,12,15,,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,6,theo faber look mystery famous painter stop speak shoot husband,9,-0.5574
2019-06-02,9781524796372,13,6,,LOST ROSES,Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",6,       new york socialite eliza ferriday work help white russian family escape revolution,2,0.5267
2019-06-02,9780525536642,14,2,,THE BIG KAHUNA,Janet Evanovich and Peter Evanovich,Putnam,The sixth book in the Fox and O’Hare series. An F.B.I. agent teams up with a con man to search for a Silicon Valley billionaire.,6,sixth book fox hare series agent team con man search silicon valley billionaire,6,0.0
2019-06-02,9781101947883,15,2,,EXHALATION,Ted Chiang,Knopf,Nine short stories including “The Lifecycle of Software Objects” and “Anxiety Is the Dizziness of Freedom.”,6,short story include lifecycle software object anxiety dizziness freedom,11,0.5423
2019-06-09,9780735219090,1,38,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",6,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-06-09,9780316420266,2,4,,THE 18TH ABDUCTION,James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,6,book woman murder club series lindsay boxer investigate disappearance female teacher,11,-0.6908
2019-06-09,9781538750148,3,1,,CARI MORA,Thomas Harris,Grand Central,"Hans-Peter Schneider pauses his ghastly deeds to seek a dead man’s gold hidden under a Miami mansion, but its caretaker’s surprising skills prove daunting.",6,hans peter schneider pause ghastly deed seek dead man gold hide miami mansion caretaker surprising skill prove daunt,1,-0.5994
2019-06-09,9781524796280,4,22,,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",6,set      year event game throne volume history targaryen westeros,4,0.0
2019-06-09,9781538761410,5,6,,REDEMPTION,David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,6,fifth book memory man series man amos decker bar ask clear,16,0.3818
2019-06-09,9781250110251,6,3,,THE GUEST BOOK,Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,6,evie milton uncover story go couple generation shatter family myth,13,0.0
2019-06-09,9781250126108,7,3,,SUNSET BEACH,Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,6,drue campbell inherit run beach bungalow take job estranged father personal injury attorney office,2,-0.4215
2019-06-09,9780399179327,8,3,,BLESSING IN DISGUISE,Danielle Steel,Delacorte,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.,6,isabelle mcavoy face challenge raise daughter separate father,1,0.0772
2019-06-09,9780525536581,9,5,,NEON PREY,John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,6,book prey series lucas davenport go serial killer,3,-0.6486
2019-06-09,9780525484707,10,2,,THE NIGHT WINDOW,Dean Koontz,Bantam,"The fifth book in the Jane Hawk series. The former F.B.I. agent pursues a slew of bad guys, including a Vegas mob boss.",6,fifth book jane hawk series agent pursue slew bad guy include vegas mob boss,12,-0.5423
2019-06-09,9781984822178,11,6,,NORMAL PEOPLE,Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,6,connection high school star athlete loner ebb flow trinity college dublin,8,-0.3182
2019-06-09,9781250301697,12,16,,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,6,theo faber look mystery famous painter stop speak shoot husband,9,-0.5574
2019-06-09,9780525536642,13,3,,THE BIG KAHUNA,Janet Evanovich and Peter Evanovich,Putnam,The sixth book in the Fox and O’Hare series. An F.B.I. agent teams up with a con man to search for a Silicon Valley billionaire.,6,sixth book fox hare series agent team con man search silicon valley billionaire,6,0.0
2019-06-09,9781524796372,14,7,,LOST ROSES,Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution.",6,       new york socialite eliza ferriday work help white russian family escape revolution,2,0.5267
2019-06-09,9781101947883,15,3,,EXHALATION,Ted Chiang,Knopf,Nine short stories including “The Lifecycle of Software Objects” and “Anxiety Is the Dizziness of Freedom.”,6,short story include lifecycle software object anxiety dizziness freedom,11,0.5423
2019-06-16,9780735219090,1,39,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",6,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-06-16,9780062861214,2,1,,QUEEN BEE,Dorothea Benton Frank,Morrow,"A beekeeper’s quiet life is unsettled by her demanding mother, outgoing sister and neighboring widower.",6,beekeeper quiet life unsettle demand mother outgoing sister neighboring widower,11,0.1779
2019-06-16,9780316420266,3,5,,THE 18TH ABDUCTION,James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.,6,book woman murder club series lindsay boxer investigate disappearance female teacher,11,-0.6908
2019-06-16,9781250110251,4,4,,THE GUEST BOOK,Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.,6,evie milton uncover story go couple generation shatter family myth,13,0.0
2019-06-16,9781982106980,5,1,,"ASK AGAIN, YES",Mary Beth Keane,Scribner,The lives of neighboring families in a New York City suburb intertwine over four decades.,6,life neighboring family new york city suburb intertwine decade,11,0.0
2019-06-16,9781538761410,6,7,,REDEMPTION,David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.,6,fifth book memory man series man amos decker bar ask clear,16,0.3818
2019-06-16,9781250126108,7,4,,SUNSET BEACH,Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.,6,drue campbell inherit run beach bungalow take job estranged father personal injury attorney office,2,-0.4215
2019-06-16,9781524796280,8,23,,FIRE AND BLOOD,George R.R. Martin,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",6,set      year event game throne volume history targaryen westeros,4,0.0
2019-06-16,9781250301697,9,17,,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,6,theo faber look mystery famous painter stop speak shoot husband,9,-0.5574
2019-06-16,9780399179327,10,4,,BLESSING IN DISGUISE,Danielle Steel,Delacorte,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.,6,isabelle mcavoy face challenge raise daughter separate father,1,0.0772
2019-06-16,9780553391541,11,1,,THE STIEHL ASSASSIN,Terry Brooks,Del Rey,The third book in the Fall of Shannara series.,6,book fall shannara series,2,0.0
2019-06-16,9781984822178,12,7,,NORMAL PEOPLE,Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,6,connection high school star athlete loner ebb flow trinity college dublin,8,-0.3182
2019-06-16,9781538750148,13,2,,CARI MORA,Thomas Harris,Grand Central,"Hans-Peter Schneider pauses his ghastly deeds to seek a dead man’s gold hidden under a Miami mansion, but its caretaker’s surprising skills prove daunting.",6,hans peter schneider pause ghastly deed seek dead man gold hide miami mansion caretaker surprising skill prove daunt,1,-0.5994
2019-06-16,9780525536581,14,6,,NEON PREY,John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.,6,book prey series lucas davenport go serial killer,3,-0.6486
2019-06-16,9780062676832,15,1,,THE SENTENCE IS DEATH,Anthony Horowitz,Harper,Detective Daniel Hawthorne teams up with the author Anthony Horowitz to solve the mysterious killing of a celebrity divorce lawyer.,6,detective daniel hawthorne team author anthony horowitz solve mysterious killing celebrity divorce lawyer,8,-0.5574
2019-06-23,9780735219090,1,40,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",6,quiet town north carolina coast        young woman survive marsh murder suspect,3,-0.7845
2019-06-23,9781594634734,2,1,,CITY OF GIRLS,Elizabeth Gilbert,Riverhead,An 89-year-old Vivian Morris looks back at the direction her life took when she entered the 1940s New York theater scene.,6,    year old vivian morris look direction life take enter      new york theater scene,13,0.0
