list_date,isbn13,rank,weeks_on_list,isbn10,title,author,publisher,description,month,clean_description,dominant_topic,sentiment_compound
2018-08-05,9780316412698,2,7,,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,8,president jonathan duncan take adversary home abroad,2,-0.2023
2018-08-05,9780399181252,3,1,,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,8,annie marlow form new relationship pacific northwest try recover tragedy,13,-0.6597
2018-08-05,9781501180989,4,9,,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,8,detective investigate seemingly wholesome member community     year old boy body find,9,0.0
2018-08-05,9780316375269,5,5,,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,8,body find nantucket harbor hour picture perfect wedding,19,0.5719
2018-08-05,9780399178924,6,4,,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,8,scandal send member nashville family chaos,18,-0.765
2018-08-05,9781476789415,7,3,,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,8,book scot harvath series,19,0.0
2018-08-05,9780525655527,8,2,,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.,8,window willa drake life     year adjust life surprise,12,0.2732
2018-08-05,9781101884126,9,2,,THE GOOD FIGHT,Danielle Steel,Delacorte,Meredith McKenzie embraces and eschews the values of her family of lawyers during the tumultuous 1960s.,8,meredith mckenzie embrace eschew value family lawyer tumultuous     ,10,0.5719
2018-08-05,9781476778440,10,7,,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,8,emily charlton plan comeback suburb,17,0.0
2018-08-05,9780425284681,11,44,,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,8,south carolina lawyer learn questionable practice tennessee orphanage,10,-0.296
2018-08-05,9780525520375,12,7,,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,8,multigenerational story explore plight urban native american,5,0.0
2018-08-05,9780312577230,13,19,,THE GREAT ALONE,Kristin Hannah,St. Martin's,A former prisoner of war moves his family to Alaska.,8,prisoner war move family alaska,15,-0.8126
2018-08-05,9780062678416,14,25,,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,8,recluse drink heavily take prescription drug witness crime harlem townhouse,8,-0.5423
2018-08-05,9780735224292,15,43,,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,8,artist upend quiet town outside cleveland,6,0.0
2018-08-12,9780525480488,1,1,,THRAWN: ALLIANCES,Timothy Zahn,Del Rey,A Star Wars saga. Darth Vader and Grand Admiral Thrawn join forces to serve Emperor Palpatine.,8,star war saga darth vader grand admiral thrawn join force serve emperor palpatine,7,0.3818
2018-08-12,9780316412698,2,8,,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,8,president jonathan duncan take adversary home abroad,2,-0.2023
2018-08-12,9780062834829,3,2,,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",8,gabriel allon art restorer assassin fight russians decide fate postwar global order,12,-0.3818
2018-08-12,9781501180989,4,10,,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,8,detective investigate seemingly wholesome member community     year old boy body find,9,0.0
2018-08-12,9780525522775,5,1,,GHOSTED,Rosie Walsh,Pamela Dorman/Viking,"When Eddie disappears, Sarah realizes they did not share the truth with each other.",8,eddie disappear sarah realize share truth,5,0.3818
2018-08-12,9780399181252,6,2,,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,8,annie marlow form new relationship pacific northwest try recover tragedy,13,-0.6597
2018-08-12,9780316375269,7,6,,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,8,body find nantucket harbor hour picture perfect wedding,19,0.5719
2018-08-12,9781476789415,8,4,,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,8,book scot harvath series,19,0.0
2018-08-12,9780525655527,9,3,,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.,8,window willa drake life     year adjust life surprise,12,0.2732
2018-08-12,9780399178924,10,5,,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,8,scandal send member nashville family chaos,18,-0.765
2018-08-12,9781476778440,11,8,,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,8,emily charlton plan comeback suburb,17,0.0
2018-08-12,9780425284681,12,45,,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,8,south carolina lawyer learn questionable practice tennessee orphanage,10,-0.296
2018-08-12,9781101884126,13,3,,THE GOOD FIGHT,Danielle Steel,Delacorte,Meredith McKenzie embraces and eschews the values of her family of lawyers during the tumultuous 1960s.,8,meredith mckenzie embrace eschew value family lawyer tumultuous     ,10,0.5719
2018-08-12,9780525520375,14,8,,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,8,multigenerational story explore plight urban native american,5,0.0
2018-08-12,9780062678416,15,26,,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,8,recluse drink heavily take prescription drug witness crime harlem townhouse,8,-0.5423
2018-08-19,9780316412698,1,9,,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,8,president jonathan duncan take adversary home abroad,2,-0.2023
2018-08-19,9781501138126,2,1,,PARADOX,Catherine Coulter,Gallery,"In the 22nd book in the F.B.I. Thriller series, agents Sherlock and Savich look for an escaped psychopath.",8,book thriller series agent sherlock savich look escape psychopath,12,0.2732
2018-08-19,9781501180989,3,11,,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,8,detective investigate seemingly wholesome member community     year old boy body find,9,0.0
